Codigo;Articulo;Costo Inicial;Moneda;Desc. 1%;Desc. 2%;Desc. 3%;Costo Final
LA0117;TEFLON    1X10M LATYNPLAS ALTA DENSIDAD*;1115.00;ARS;0.00;0.00;0.00;1115.00
LA0115;TEFLON    1X10X0.05MM LATYNPLAS*;391.20;ARS;0.00;0.00;0.00;391.20
LA1215;TEFLON  1/2X10X0.05MM LATYNPLAS*;199.56;ARS;0.00;0.00;0.00;199.56
LA1225;TEFLON  1/2X20X0.05MM LATYNPLAS*;330.22;ARS;0.00;0.00;0.00;330.22
LA3417;TEFLON  3/4X10M LATYNPLAS ALTA DENSIDAD*;843.38;ARS;0.00;0.00;0.00;843.38
LA3415;TEFLON  3/4X10X0.05MM LATYNPLAS*;300.92;ARS;0.00;0.00;0.00;300.92
LA3425;TEFLON  3/4X20X0.05MM LATYNPLAS*;518.70;ARS;0.00;0.00;0.00;518.70
LA3447;TEFLON  3/4X40M LATYNPLAS ALTA DENSIDAD*;3257.11;ARS;0.00;0.00;0.00;3257.11
NIH680;TERRAJA P/GOMERO CORTA 4 OPERAC.*;1089.67;ARS;0.00;0.00;0.00;1089.67
AI0062;TRAMPA DE AGUA AMX (AA-2002)*;0.00;ARS;0.00;0.00;0.00;0.00
VF1005;VALVULA ESFERICA  1  VALFORTE*;12383.04;ARS;0.00;0.00;0.00;12383.04
VF1003;VALVULA ESFERICA 1/2 VALFORTE*;5225.00;ARS;0.00;0.00;0.00;5225.00
VF1001;VALVULA ESFERICA 1/4 VALFORTE*;3702.96;ARS;0.00;0.00;0.00;3702.96
VF1004;VALVULA ESFERICA 3/4 VALFORTE*;7568.25;ARS;0.00;0.00;0.00;7568.25
VF1002;VALVULA ESFERICA 3/8 VALFORTE*;4532.08;ARS;0.00;0.00;0.00;4532.08
VF0004;VALVULA MINI ESFERICA H-H 1/2 VALFORTE*;6101.64;ARS;0.00;0.00;0.00;6101.64
VF0002;VALVULA MINI ESFERICA H-H 1/4 VALFORTE*;4328.57;ARS;0.00;0.00;0.00;4328.57
VF0001;VALVULA MINI ESFERICA H-H 1/8 VALFORTE*;4328.57;ARS;0.00;0.00;0.00;4328.57
VF0003;VALVULA MINI ESFERICA H-H 3/8 VALFORTE*;4575.64;ARS;0.00;0.00;0.00;4575.64
VF0008;VALVULA MINI ESFERICA M-H 1/2 VALFORTE*;5694.60;ARS;0.00;0.00;0.00;5694.60
VF0006;VALVULA MINI ESFERICA M-H 1/4 VALFORTE*;4328.57;ARS;0.00;0.00;0.00;4328.57
VF0005;VALVULA MINI ESFERICA M-H 1/8 VALFORTE*;4328.57;ARS;0.00;0.00;0.00;4328.57
VF0007;VALVULA MINI ESFERICA M-H 3/8 VALFORTE*;4576.43;ARS;0.00;0.00;0.00;4576.43
VF0012;VALVULA MINI ESFERICA M-M 1/2 VALFORTE*;6195.88;ARS;0.00;0.00;0.00;6195.88
VF0010;VALVULA MINI ESFERICA M-M 1/4 VALFORTE*;4330.15;ARS;0.00;0.00;0.00;4330.15
VF0009;VALVULA MINI ESFERICA M-M 1/8 VALFORTE*;3953.20;ARS;0.00;0.00;0.00;3953.20
VF0011;VALVULA MINI ESFERICA M-M 3/8 VALFORTE*;5525.13;ARS;0.00;0.00;0.00;5525.13
